"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","FOOTPRINT6","FOOTPRINT7","FOOTPRINT8","FOOTPRINT9","FOOTPRINT10","AEC CATEGORY","AEC GRADE","AEC QUALIFIED","ALTERNATE MANUFACTURER","ALTERNATE PARTNUMBER","ANGLE","BREAKDOWN VOLTAGE(MIN)(V)","CAP_CASE","CAP_F","CERT_CSA","CERT_CULUS","CERT_UL","CERT_VDE","CHTYPE","CIRCUIT","CLASSNAME","COLOR","COLORTEMPERATURE","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPTYPE","CONTACTFINISH","CURRENT_A","CURRENTRATING_MA","DATASHEETVERSION","DYNAMICRESISTANCE","ECO-PLAN","EIA_CODE","ESR_OHM","FAMILY_IO","FAMILYNAME","GENDER","HFEMAX","ICRATED_A","IDSMAX_A","IEC 61000-4-2 AIR-GAP(+/- KV)","IEC 61000-4-2 CONTACT(+/- KV)","IO CAPACITANCE(TYP)(PF)","IO LEAKAGE CURRENT(NA)","IO_A","IR_A","IRMS_A","LAMBDAD","LAMBDAP","LATESTREVISIONDATE","LATESTREVISIONNOTE","LUMINANCE_LV","LUMINOUSFLUX_PHIV","LUMINOUSINTENSITY_IV","MANUFACTURER","MOUNTTYPE","NOTE","NPN","NUMPARALLELLEDS","NUMSERIESLEDS","ORIENTATION","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGEVERSION","PARTNUMBER","PINCOUNT","PITCH_MM","PNP","POLARIZED","POSITIONCOUNT","POWER_TOTALMODULE","POWER_W","PUBLISHED","PUBLISHER","QGTYP_NC","RDSON_MOHM","RDSON45_OHM","RES_OHM","RJA_CPERW","RJC_CPERW","ROHS","ROW_COUNT","ROWSPACING_MM","SERIES","SHROUDED","SIZEAREA_MM2","SIZEAREAWB_MM2","SIZEX_MM","SIZEY_MM","SIZEZ_MM","SUBFAMILY","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SWITCHFUNCTION","SYMBOLCREATOR","SYMBOLVERSION","TAMAX_C","TAMIN_C","TECHNOLOGY","TEMPCO","TJMAX_C","TOLERANCE_%","TYPE","U/M","VALUE","VALUE_CODE","VALUE1","VALUE2","VALUEDISPLAYED","VCEO_V","VCESAT1_V","VDC_V","VDSMAX_V","VF_V","VGS_V","VOLTAGE_V","VR_V","VZ_V","SHEETPART","DESIGNATOR","DESCRIPTION"
"CRCW06031M00JNEA","0603","0603M","0603L","0603_HV","0603S","","","","","","Q200","","?","","","","","","","","","","","","","","","","=PartNumber","Datasheet link","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","Resistor","","","","","","","E24","","","","","","","","","","","","","","","","","2016-04-07","","","","","Vishay-Dale","SMT","","","","","","","0603","","CRCW06031M00JNEA","","","","","","","0.1","2008-06-26","Texas Instruments","","","","1000000","","","Y","","","","","","","","","","","Digi-Key","Mouser","Farnell","541-1.0MGCT-ND","71-CRCW0603J-1.0M-E3","1514706","","","2009-05-29","","","Thick Film","200 ppm/C","","5","","EA","1.0Meg","1M00","5%","0.1W","1.0M","","","75","","","","","","","","R?","RES, 1.0 M, 5%, 0.1 W, 0603"
"CRCW06031M00JNEA_1","0603","0603M","0603L","0603_HV","0603S","","","","","","Q200","","?","","","","","","","","","","","","","","","","=PartNumber","Datasheet link","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","Resistor","","","","","","","E24","","","","","","","","","","","","","","","","","2016-04-07","","","","","Vishay-Dale","SMT","","","","","","","0603","","CRCW06031M00JNEA","","","","","","","0.1","2008-06-26","Texas Instruments","","","","1000000","","","Y","","","","","","","","","","","Digi-Key","Mouser","Farnell","541-1.0MGCT-ND","71-CRCW0603J-1.0M-E3","1514706","","","2009-05-29","","","Thick Film","200 ppm/C","","5","","EA","1.0Meg","1M00","5%","0.1W","1.0M","","","75","","","","","","","","R?","RES, 1.0 M, 5%, 0.1 W, 0603"
"CRCW0603220KJNEA","0603","0603M","0603L","0603_HV","0603S","","","","","","Q200","","?","","","","","","","","","","","","","","","","=PartNumber","Datasheet link","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","Resistor","","","","","","","E24","","","","","","","","","","","","","","","","","2016-04-07","","","","","Vishay-Dale","SMT","","","","","","","0603","","CRCW0603220KJNEA","","","","","","","0.1","2008-06-26","Texas Instruments","","","","220000","","","Y","","","","","","","","","","","Digi-Key","Mouser","Farnell","541-220KGCT-ND","71-CRCW0603J-220K-E3","1514741","","","2009-05-29","","","Thick Film","200 ppm/C","","5","","EA","220k","220k","5%","0.1W","220k","","","75","","","","","","","","R?","RES, 220 k, 5%, 0.1 W, 0603"
"CRCW0603499KFKEA","0603","0603M","0603L","0603_HV","0603S","","","","","","","","","","","","","","","","","","","","","","","","=PartNumber","Datasheet link","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","Resistor","","","","","","","E96","","","","","","","","","","","","","","","","","2015-04-06","","","","","Vishay-Dale","SMT","","","","","","","0603","","CRCW0603499KFKEA","","","","","","","0.1","2008-06-26","Texas Instruments","","","","499000","","","Y","","","","","","","","","","","Digi-Key","Mouser","Farnell","541-499KHCT-ND","71-CRCW0603-499K-E3","1152042","","","2009-05-29","","","Thick Film","100 ppm/C","","1","","EA","499k","499k","1%","0.1W","499k","","","75","","","","","","","","R?","RES, 499 k, 1%, 0.1 W, 0603"
"CRCW0603510KJNEA","0603","0603M","0603L","0603_HV","0603S","","","","","","Q200","","?","","","","","","","","","","","","","","","","=PartNumber","Datasheet link","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","Resistor","","","","","","","E24","","","","","","","","","","","","","","","","","2016-04-07","","","","","Vishay-Dale","SMT","","","","","","","0603","","CRCW0603510KJNEA","","","","","","","0.1","2008-06-26","Texas Instruments","","","","510000","","","Y","","","","","","","","","","","Digi-Key","Mouser","Farnell","541-510KGCT-ND","71-CRCW0603J-510K-E3","1570755","","","2009-05-29","","","Thick Film","200 ppm/C","","5","","EA","510k","510k","5%","0.1W","510k","","","75","","","","","","","","R?","RES, 510 k, 5%, 0.1 W, 0603"
"CRCW060351K0JNEA","0603","0603M","0603L","0603_HV","0603S","","","","","","Q200","","?","","","","","","","","","","","","","","","","=PartNumber","Datasheet link","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","Resistor","","","","","","","E24","","","","","","","","","","","","","","","","","2016-04-07","","","","","Vishay-Dale","SMT","","","","","","","0603","","CRCW060351K0JNEA","","","","","","","0.1","2008-06-26","Texas Instruments","","","","51000","","","Y","","","","","","","","","","","Digi-Key","Mouser","Farnell","541-51KGCT-ND","71-CRCW0603J-51K-E3","1514777","","","2009-05-29","","","Thick Film","200 ppm/C","","5","","EA","51k","51k0","5%","0.1W","51k","","","75","","","","","","","","R?","RES, 51 k, 5%, 0.1 W, 0603"
"CRCW0805100KFKEA","0805_HV","0805","0805M","0805L","","","","","","","","","","","","","","","","","","","","","","","","","=PartNumber","Datasheet link","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","Resistor","","","","","","","E96","","","","","","","","","","","","","","","","","2013-10-15","","","","","Vishay-Dale","SMT","","","","","","","0805","","CRCW0805100KFKEA","","","","","","","0.125","2008-06-26","Texas Instruments","","","","100000","","","Y","","","","","","","","","","","Digi-Key","Mouser","Farnell","541-100KCCT-ND","71-CRCW0805-100K-E3","1469860","","","2009-05-29","","","Thick Film","100 ppm/C","","1","","EA","100k","100k","1%","0.125W","","","","150","","","","","","","","R?","RES, 100k ohm, 1%, 0.125W, 0805"
"CRCW0805100RFKEA","0805_HV","0805","0805M","0805L","","","","","","","","","","","","","","","","","","","","","","","","","=PartNumber","Datasheet link","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","Resistor","","","","","","","E96","","","","","","","","","","","","","","","","","2013-01-08","","","","","Vishay-Dale","SMT","","","","","","","0805","","CRCW0805100RFKEA","","","","","","","0.125","2008-06-26","Texas Instruments","","","","100","","","Y","","","","","","","","","","","Digi-Key","Mouser","Farnell","541-100CCT-ND","71-CRCW0805-100-E3","1469862","","","2009-05-29","","","Thick Film","100 ppm/C","","1","","EA","100","100R","1%","0.125W","","","","150","","","","","","","","R?","RES, 100 ohm, 1%, 0.125W, 0805"
"CRCW20101K00JNEF","2010","2010M","2010L","","","","","","","","Q200","0","Y","","","","","","","","","","","","","","","","=PartNumber","Datasheet link","http://www.vishay.com/doc?20035","","","Resistor","","","","","","","E24","","","","","","","","","","","","","","","","","2016-06-10","","","","","Vishay-Dale","SMT","","","","","","","2010","","CRCW20101K00JNEF","","","","","","","0.75","2008-06-26","Texas Instruments","","","","1000","","","Y","","","","","12.5","","5","2.5","1.66","","Digi-Key","","","541-1.0KWCT-ND","","","","","2009-05-29","","","Thick Film","200 ppm/C","","5","","EA","1.0k","1k00","5%","0.75W","1.0k","","","400","","","","","","","","R?","RES, 1.0 k, 5%, 0.75 W, AEC-Q200 Grade 0, 2010"
"CRCW201028R7FKEF","2010","2010M","2010L","","","","","","","","","","","","","","","","","","","","","","","","","","=PartNumber","Datasheet link","http://www.vishay.com/doc?20035","","","Resistor","","","","","","","E96","","","","","","","","","","","","","","","","","2015-04-13","","","","","Vishay-Dale","SMT","","","","","","","2010","","CRCW201028R7FKEF","","","","","","","0.75","2008-06-26","Texas Instruments","","","","28.7","","","Y","","","","","","","","","","","Digi-Key","","","541-28.7ACCT-ND","","","","","2009-05-29","","","Thick Film","100 ppm/C","","1","","EA","28.7","28R7","1%","0.75W","28.7","","","400","","","","","","","","R?","RES, 28.7, 1%, 0.75 W, 2010"
