"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","FOOTPRINT6","FOOTPRINT7","FOOTPRINT8","FOOTPRINT9","FOOTPRINT10","AEC CATEGORY","AEC GRADE","AEC QUALIFIED","ALTERNATE MANUFACTURER","ALTERNATE PARTNUMBER","ANGLE","BREAKDOWN VOLTAGE(MIN)(V)","CAP_CASE","CAP_F","CERT_CSA","CERT_CULUS","CERT_UL","CERT_VDE","CHTYPE","CIRCUIT","CLASSNAME","COLOR","COLORTEMPERATURE","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPTYPE","CONTACTFINISH","CURRENT_A","CURRENTRATING_MA","DATASHEETVERSION","DYNAMICRESISTANCE","ECO-PLAN","EIA_CODE","ESR_OHM","FAMILY_IO","FAMILYNAME","GENDER","HFEMAX","ICRATED_A","IDSMAX_A","IEC 61000-4-2 AIR-GAP(+/- KV)","IEC 61000-4-2 CONTACT(+/- KV)","IO CAPACITANCE(TYP)(PF)","IO LEAKAGE CURRENT(NA)","IO_A","IR_A","IRMS_A","LAMBDAD","LAMBDAP","LATESTREVISIONDATE","LATESTREVISIONNOTE","LUMINANCE_LV","LUMINOUSFLUX_PHIV","LUMINOUSINTENSITY_IV","MANUFACTURER","MOUNTTYPE","NOTE","NPN","NUMPARALLELLEDS","NUMSERIESLEDS","ORIENTATION","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGEVERSION","PARTNUMBER","PINCOUNT","PITCH_MM","PNP","POLARIZED","POSITIONCOUNT","POWER_TOTALMODULE","POWER_W","PUBLISHED","PUBLISHER","QGTYP_NC","RDSON_MOHM","RDSON45_OHM","RES_OHM","RJA_CPERW","RJC_CPERW","ROHS","ROW_COUNT","ROWSPACING_MM","SERIES","SHROUDED","SIZEAREA_MM2","SIZEAREAWB_MM2","SIZEX_MM","SIZEY_MM","SIZEZ_MM","SUBFAMILY","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SWITCHFUNCTION","SYMBOLCREATOR","SYMBOLVERSION","TAMAX_C","TAMIN_C","TECHNOLOGY","TEMPCO","TJMAX_C","TOLERANCE_%","TYPE","U/M","VALUE","VALUE_CODE","VALUE1","VALUE2","VALUEDISPLAYED","VCEO_V","VCESAT1_V","VDC_V","VDSMAX_V","VF_V","VGS_V","VOLTAGE_V","VR_V","VZ_V","SHEETPART","DESIGNATOR","DESCRIPTION"
"CRCW2010750RJNEF","2010","2010M","2010L","","","","","","","","Q200","","?","","","","","","","","","","","","","","","","=PartNumber","Datasheet link","http://www.vishay.com/doc?20035","","","Resistor","","","","","","","E24","","","","","","","","","","","","","","","","","2016-02-02","","","","","Vishay-Dale","SMT","","","","","","","2010","","CRCW2010750RJNEF","","","","","","","0.75","2008-06-26","Texas Instruments","","","","750","","","Y","","","","","","","","","","","Digi-Key","","","541-750WCT-ND","","","","","2009-05-29","","","Thick Film","200 ppm/C","","5","","EA","750","750R","5%","0.75W","750","","","400","","","","","","","","R?","RES, 750, 5%, 0.75 W, 2010"
"CSD13381F4","Femto (0402)","","","","","","","","","","","","","None","","","","","","","","","","N","","","","","=PartNumber","Datasheet link","http://www.ti.com/lit/ds/symlink/csd13381f4.pdf","","","MOSFET","","","","","","","","","","","","","","2.1","","","","","","","","","","2015-02-19","Added parts.","","","","Texas Instruments","SMT","","","","","","","1.0x0.35x0.6mm","","CSD13381F4","","","","","","","","2008-06-19","Texas Instruments","1.06","","0.14","","","","Y","","","","","","","","","","","Digi-Key","Mouser","Newark","CSD13381F4-ND","595-CSD13381F4","11X3112","","a0411947","2013-11-21","","","","","","","","EA","12V","","0.14 ohm","1.06 nC","","","","","12","","8","","","","","Q?","MOSFET, N/P-CH, 12 V, 2.1 A, 1.0x0.35x0.6mm"
"ERJ-P06J102V","2010","2010M","2010L","","","","","","","","Q200","0","Y","","","","","","","","","","","","","","","","=PartNumber","Datasheet link","https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C331.pdf","","","Resistor","","","","","","","","","","","","","","","","","","","","","","","","2016-06-10","","","","","Panasonic Electronic Components","SMT","","","","","","","0805","","ERJ-P06J102V","","","","","","",".5W","2008-06-26","Texas Instruments","","","","1000","","","Y","","","","","2.5","","2","1.25",".7","","Digi-Key","","","P1.0KADCT-ND","","","","","2009-05-29","","","Thick Film","200 ppm/C","","5","","EA","1.0k","1k00","5%",".5W","1.0k","","","400","","","","","","","","R?","RES SMD 1K OHM 5% 1/2W 0805"
"ERJ-P06J390V","Panasonic ERJ06 0805","","","","","","","","","","","","","","","","","","","","","","","","","","","","=PartNumber","Datasheet link","http://www.vishay.com/doc?20035","","","Resistor","","","","","","","E96","","","","","","","","","","","","","","","","","2015-04-13","","","","","Panasonic Electric Components","SMD","","","","","","","0805","","ERJ-P06J390V","","","","","","",".5","2008-06-26","","","","","39","","","Y","","","","","","","","","","","Digi-Key","","","P39ADCT-ND","","","","","2009-05-29","","","Thick Film","200 ppm/C","","1","","EA","39","39","5%",".5W","39","","","200","","","","","","","","R?","39 Ohms ±5% 0.5W, 1/2W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film"
"GRM188R71E332KA01D","0603","0603M","0603L","0603_HV","","","","","","","","","","","","","","0603","0.0000000033","","","","","","","","","","=PartNumber","Datasheet link","http://search.murata.co.jp/Ceramy/PnsearchViewAction.do?HnOFG=ON&HnNFG=ON&SEL_CNT=50&sLang=en&sKey=GRM188R71E332KA01D&x=9&y=9&search=startwith","","","Capacitor","","","","","","","","","","","","","","","","","","","","","","","","2013-10-27","","","","","MuRata","SMT","","","","","","","0603","","GRM188R71E332KA01D","","","","N","","","","2008-06-19","Texas Instruments","","","","","","","Y","","","","","","","","","","","Digi-Key","Mouser","","GRM188R71E332KA01D-ND","81-GRM18R71E332KA01D","","","","2008-07-09","125","-55","Ceramic","X7R","","10","","EA","3300pF","","Unknown","25V","3300pF","","","25","","","","","","","","C?","CAP, CERM, 3300pF, 25V, +/-10%, X7R, 0603"
"GRM21BR71H105KA12L","0805_HV","0805","0805M","0805L","","","","","","","","","","","","","","0805","0.000001","","","","","","","","","","=PartNumber","Datasheet link","http://search.murata.co.jp/Ceramy/PnsearchViewAction.do?HnOFG=ON&HnNFG=ON&SEL_CNT=50&sLang=en&sKey=GRM21BR71H105KA12L&x=9&y=9&search=startwith","","","Capacitor","","","","","","","","","","","","","","","","","","","","","","","","2015-04-28","","","","","MuRata","SMT","","","","","","","0805","","GRM21BR71H105KA12L","","","","N","","","","2008-06-19","Texas Instruments","","","","","","","Y","","","","","","","","","","","Digi-Key","Mouser","Farnell","490-4736-1-ND","81-GRM21BR71H105KA2L","1735541","","","2008-07-09","125","-55","Ceramic","X7R","","10","","EA","1uF","","Unknown","50V","1µF","","","50","","","","","","","","C?","CAP, CERM, 1 µF, 50 V, +/- 10%, X7R, 0805"
"GRM32ER7YA106KA12L","1210_270","1210_270M","1210_270L","","","","","","","","Q200","","?","","","","","1210","0.00001","","","","","","","","","","=PartNumber","Datasheet link","http://search.murata.co.jp/Ceramy/PnsearchViewAction.do?HnOFG=ON&HnNFG=ON&SEL_CNT=50&sLang=en&sKey=GRM32ER7YA106KA12L&x=9&y=9&search=startwith","","","Capacitor","","","","","","","","","","","","","","","","","","","","","","","","2016-06-14","","","","","MuRata","SMT","","","","","","","1210","","GRM32ER7YA106KA12L","","","","N","","","","2008-06-19","Texas Instruments","","","","","","","Y","","","","","8","14.7","3.2","2.5","2.7","","Digi-Key","Mouser","Farnell","490-5314-1-ND","81-GRM32ER7YA106KA2L","1735537","","","2008-07-09","125","-55","Ceramic","X7R","","10","","EA","10uF","","Unknown","35V","10µF","","","35","","","","","","","","C?","CAP, CERM, 10 µF, 35 V, +/- 10%, X7R, 1210"
"IRF7759L2","L8","","","","","","","","","","","","","None","","","","","","","","","","N","","","","","=PartNumber","Datasheet link","https://www.infineon.com/dgdl/irf7759l2pbf.pdf?fileId=5546d462533600a40153560478171cb0","","","MOSFET","","","","","","","","","","","","","","260","","","","","","","","","","2009-09-19","Added parts.","","","","Infineon Technologies","SMT","","","","","","","L8","","IRF7759L2","","","","","","","","2009-09-19","Infineon Technologies","200","1.8","","","","","Y","","","","","","","","","","","Digi-Key","Mouser","Farnell","IRF7759L2TRPBFCT-ND","942-IRF7759L2TRPBF","91Y4755","","","2009-09-19","","","","","","","","EA","75V","",".0018 ohm","200 nC","","","","","75","","20","","","","","Q?","N-Channel 75V 26A (Ta), 375A (Tc) 3.3W (Ta), 125W (Tc) Surface Mount DIRECTFET L8"
"LTST-C190GKT","LED_LTST-C190","","","","","","","","","","","","","","","","","","","","","","","","","","green","","=PartNumber","Datasheet link","https://sps06.itg.ti.com/sites/KMS/crossdivteams/altium/docs/ComponentDatasheets/LTST-C190GKT.pdf","","","LED","","","","","","","","","","","","","","","","","","","0.02","","","","","2012-12-27","Updated supplier queries","","","","Lite-On","SMT","","","","","","","1.6x0.8x0.8mm","","LTST-C190GKT","","","","","","0.1","","2008-07-11","Texas Instruments","","","","","","","Y","","","","","","","","","","","Digi-Key","Mouser","","160-1183-1-ND","859-LTST-C190GKT","","","","2008-12-08","","","","","","","?","EA","Green","","0.1W","2.1V","","","","","","2.1","","","","","","D?","LED, Green, SMD"
"MM3Z5V6C","sod-323","","","","","","","","","","","","","","","","","","","","","","","","","","","","=PartNumber","Datasheet link","http://www.onsemi.com/pub/Collateral/MM3Z9V1C-D.pdf","","","Zener","","","","","","","","","","","","","","","","","","","","","","","","2013-02-11","Updated Supplier Data","","","","ON Semiconductor","SMD","","","","","","","SOD-323FL","","MM3Z5V6C","","","","","","","0.2","2008-10-08","Texas Instruments","","","","","595","","Y","","","","","","","","","","","Digi-Key","Mouser","","MM3Z5V6CCT-ND","512-MM3Z5V6C","","","","2010-08-25","","","","","","","","EA","5.6V","","0.2W","","","","","","","","","","N/A","5.6","","D?","Diode, Zener, 5.6V, 200mW, SOD-323FL"
"MMSZ5228BS-7-F","sod-323","","","","","","","","","","Q101","","?","","","","","","","","","","","","","","","","=PartNumber","Datasheet link","http://www.diodes.com/datasheets/ds31038.pdf","","","Zener","","","","","","","","","","","","","","","","","","","","","","","","2016-04-07","Updated Supplier Data","","","","Diodes Inc.","SMT","","","","","","","SOD-323","","MMSZ5228BS-7-F","","","","","","","0.2","2008-10-08","Texas Instruments","","","","","350","","Y","","","","","","","","","","","Digi-Key","Mouser","","MMSZ5228BS-FDICT-ND","621-MMSZ5228BS-F","","","a0412235","2010-08-25","","","","","","","","EA","3.9V","","0.2W","","","","","","","","","","N/A","3.9","","D?","Diode, Zener, 3.9 V, 200 mW, SOD-323"
"MMSZ5232BS-7-F","sod-323","","","","","","","","","","","","","","","","","","","","","","","","","","","","=PartNumber","Datasheet link","http://www.diodes.com/datasheets/ds31038.pdf","","","Zener","","","","","","","","","","","","","","","","","","","","","","","","2013-02-11","Updated Supplier Data","","","","Diodes Inc.","SMT","","","","","","","SOD-323","","MMSZ5232BS-7-F","","","","","","","0.2","2008-10-08","Texas Instruments","","","","","350","","Y","","","","","","","","","","","Digi-Key","Mouser","","MMSZ5232BS-FDICT-ND","621-MMSZ5232BS-F","","","","2010-08-25","","","","","","","","EA","5.6V","","0.2W","","","","","","","","","","N/A","5.6","","D?","Diode, Zener, 5.6V, 200mW, SOD-323"
"MMSZ5248BS-7-F","sod-323","","","","","","","","","","Q101","","?","","","","","","","","","","","","","","","","=PartNumber","Datasheet link","http://www.diodes.com/datasheets/ds31038.pdf","","","Zener","","","","","","","","","","","","","","","","","","","","","","","","2016-01-12","Updated Supplier Data","","","","Diodes Inc.","SMT","","","","","","","SOD-323","","MMSZ5248BS-7-F","","","","","","","0.2","2008-10-08","Texas Instruments","","","","","350","","Y","","","","","","","","","","","Digi-Key","Mouser","Farnell","MMSZ5248BS-FDICT-ND","621-MMSZ5248BS-F","1858632","","a0412235","2010-08-25","","","","","","","","EA","18V","","0.2W","","","","","","","","","","N/A","18","","D?","Diode, Zener, 18 V, 200 mW, SOD-323"
"MMSZ5248BS-7-F_1","sod-323","","","","","","","","","","Q101","","?","","","","","","","","","","","","","","","","=PartNumber","Datasheet link","http://www.diodes.com/datasheets/ds31038.pdf","","","Zener","","","","","","","","","","","","","","","","","","","","","","","","2016-04-07","Updated Supplier Data","","","","Diodes Inc.","SMT","","","","","","","SOD-323","","MMSZ5248BS-7-F","","","","","","","0.2","2008-10-08","Texas Instruments","","","","","350","","Y","","","","","","","","","","","Digi-Key","Mouser","Farnell","MMSZ5248BS-FDICT-ND","621-MMSZ5248BS-F","1858632","","a0412235","2010-08-25","","","","","","","","EA","18V","","0.2W","","","","","","","","","","N/A","18","","D?","Diode, Zener, 18 V, 200 mW, SOD-323"
"Net-Tie","Net-Tie_10mil","NetTie_1206","Net-Tie_0805_HV","NetTie_1206_NoOverlay","Net-Tie_0805_HV_NoOverlay","Net-Tie_10milWide_30milLong","Net-Tie_20milWide_60milLong","NetTie_0603","NetTie_0402","Net-Tie_50milWide_30milLong","","","","","","","","","","","","","","","","","","","Net-Tie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-10-18","Added Alternate PartNumber and Alternate Manufacturer parameters to appropriate components.","","","","","SMT","","","","","","","N/A","","","","","","","","","","","Texas Instruments","","","","","","","","","","","","","","","","","","","","","","","","","codlsc","2009-07-01","","","","","","","","","","","","","","","","","","","","","","","","NT?","Single point connection between nets."
"PEC02SAAN","CONN_PEC02SAAN","","","","","","","","","","","","","","","","","","","","","Y","","","","Header","Black","","=PartNumber","Datasheet URL","http://www.sullinscorp.com/catalogs/77_PAGE108-109_.100_MALE_HDR.pdf","","","Header","Tin","3","","","","","","","","","Male","","","","","","","","","","","","","2016-07-21","","","","","Sullins Connector Solutions","TH","","","","","Vertical","","Header, 2 PIN, 100mil, Tin","","PEC02SAAN","2","2.54","","","","","","","Texas Instruments","","","","","","","Y","1","","","N","","","","","","","Digi-Key","","","S1012E-02-ND","","","","a0412235","2013-10-31","","","","","","","","","","","","","","","","","","","","1800","","","","TP?","Header, 100mil, 2x1, Tin, TH"
"RG1608P-103-B-T5","0603","0603M","0603L","0603_HV","0603S","","","","","","Q200","","?","","","","","","","","","","","","","","","","=PartNumber","Datasheet link","http://www.susumu.co.jp/english/pdf/products-j01-01.pdf","","","Resistor","","","","","","","E192","","","","","","","","","","","","","","","","","2016-04-07","","","","","Susumu Co Ltd","SMT","","","","","","","0603","","RG1608P-103-B-T5","","","","","","","0.1","2008-06-26","Texas Instruments","","","","10000","","","Y","","","","","","","","","","","Digi-Key","Mouser","Farnell","RG16P10.0KBCT-ND","754-RG1608P-103-B-T5","1797079","","","2009-05-29","","","Metal Film","25 ppm/C","","0.1","","EA","10.0k","10k0","0.1%","0.1W","10.0k","","","75","","","","","","","","R?","RES, 10.0 k, 0.1%, 0.1 W, 0603"
"RG1608P-304-B-T5","0603","0603M","0603L","0603_HV","","","","","","","","","","","","","","","","","","","","","","","","","=PartNumber","Datasheet link","http://www.susumu.co.jp/english/pdf/products-j01-01.pdf","","","Resistor","","","","","","","","","","","","","","","","","","","","","","","","2013-10-22","","","","","Susumu Co Ltd","SMT","","","","","","","0603","","RG1608P-304-B-T5","","","","","","","0.1","2008-06-26","Texas Instruments","","","","300000","","","Y","","","","","","","","","","","Digi-Key","Mouser","Farnell","RG16P300KBCT-ND","754-RG1608P-304-B-T5","1797155","","","2009-05-29","","","Metal Film","25 ppm/C","","0.1","","EA","300k","300k","0.1%","0.1W","","","","75","","","","","","","","R?","RES, 300k ohm, 0.1%, 0.1W, 0603"
"TESTPOINT","TESTPOINT","TP_VIA_018RND008","TP_VIA_060RND040","TP_25MIL-SMT","TP_50MIL-25MILHOLE","TP_60MIL-SMT","","","","","","","","","","","","","","","","","","","","","","","TESTPOINT","","","","","Testpoint","","","","","","","","","","","","","","","","","","","","","","","","2015-10-18","Added Alternate PartNumber and Alternate Manufacturer parameters to appropriate components.","","","","","","","","","","","","N/A","","","","","","","","","","","Texas Instruments","","","","","","","","","","","","","","","","","","","","","","","","","","2010-10-20","","","","","","","","","","","","","","","","","","","","","","","","TP?","TEST POINT.  No entry in BOM."
"TESTPOINT_1","TESTPOINT","TP_VIA_018RND008","TP_VIA_060RND040","TP_25MIL-SMT","TP_50MIL-25MILHOLE","TP_60MIL-SMT","","","","","","","","","","","","","","","","","","","","","","","TESTPOINT","","","","","Testpoint","","","","","","","","","","","","","","","","","","","","","","","","2015-10-18","Added Alternate PartNumber and Alternate Manufacturer parameters to appropriate components.","","","","","","","","","","","","N/A","","","","","","","","","","","Texas Instruments","","","","","","","","","","","","","","","","","","","","","","","","","","2010-10-20","","","","","","","","","","","","","","","","","","","","","","","","TP?","TEST POINT.  No entry in BOM."
"TPD1E10B06DPYT","DPY0002A","","","","","","","","","","","","","Texas Instruments","Equivalent","","6","","","","","","","","","","","","=PartNumber","Datasheet","http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=TPD1E10B06&fileType=pdf","URL Link1","SamplesURL:http://www.ti.com/product/tpd1e10b06#samples","","","","","SLLSEB1","","TBD","","","","","","","","","30","30","10","10","","","","","","","","","","","Texas Instruments","SMT","","","","","","2-Pin Plastic Small Outline No-Lead 1.0 x 0.6 x 0.4 mm Body","DPY0002A","revA, Apr-2010","TPD1E10B06DPYT","","","","","","","","","","","","","","","","","","","","","","","","","","ESD Solution","Mouser","","","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?","ESD Protection in 0402 Package with 10 pF Capacitance and 6 V Breakdown, 1 Channel, -40 to +125 degC, 2-pin X2SON (DPY)"
"WSLP5931L5000FEB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","=PartNumber","Datasheet link","http://www.vishay.com/docs/30176/wslp3921.pdf","","","Resistor","","","","","","","481","","","","","","","","","","","","","","","","","2015-04-13","","","","","Vishay Dale","SMD","","","","","","","WSLP","","WSLP5931L5000FEB","","","","","","","10","2008-06-26","","","","",".0005","","","Y","","","","","","","","","","","Digi-Key","","","WSLPD-.0005CT-ND","","","","","2009-05-29","","","Thick Film","200 ppm/C","","1","","EA","5µ","5µ","1%","10W","5µ","","","200","","","","","","","","R?","RES SMD 500 UOHM 1% 10W 5931"
"ZXMP10A13FTA","SOT-23","SOT-23M","SOT-23L","","","","","","","","","","","None","","","","","","","","","","P","","","","","=PartNumber","Datasheet link","http://www.diodes.com/datasheets/ZXMP10A13F.pdf","","","MOSFET","","","","","","","","","","","","","","-0.6","","","","","","","","","","2013-10-21","Added parts.","","","","Diodes Inc.","SMT","","","","","","","SOT-23","","ZXMP10A13FTA","","","","","","","","2008-06-19","Texas Instruments","3.5","","1","","","","Y","","","","","","","","","","","Digi-Key","Mouser","Farnell","ZXMP10A13FCT-ND","522-ZXMP10A13FTA","1843777","","","2008-07-09","","","","","","","","EA","-100V","","1 ohm","3.5 nC","","","","","-100","","-4","","","","","Q?","MOSFET, P-CH, -100V, -0.6A, SOT-23"
"ZXMP10A13FTA_1","SOT-23","SOT-23M","SOT-23L","","","","","","","","","","","None","","","","","","","","","","P","","","","","=PartNumber","Datasheet link","http://www.diodes.com/datasheets/ZXMP10A13F.pdf","","","MOSFET","","","","","","","","","","","","","","-0.6","","","","","","","","","","2013-10-21","Added parts.","","","","Diodes Inc.","SMT","","","","","","","SOT-23","","ZXMP10A13FTA","","","","","","","","2008-06-19","Texas Instruments","3.5","","1","","","","Y","","","","","","","","","","","Digi-Key","Mouser","Farnell","ZXMP10A13FCT-ND","522-ZXMP10A13FTA","1843777","","","2008-07-09","","","","","","","","EA","-100V","","1 ohm","3.5 nC","","","","","-100","","-4","","","","","Q?","MOSFET, P-CH, -100V, -0.6A, SOT-23"
"ZXTN19100CZTA, Diodes Inc.","SOT-89-3","","","","","","","","","","Q101","","?","","","","","","","","","","","","","","","","=PartNumber","Datasheet link","http://www.diodes.com/datasheets/ZXTN19100CZ.pdf","","","BJT","","","","","","","","","","","","500","5.25","","","","","","","","","","","2016-02-25","","","","","Diodes Inc.","SMT","","1","","","","","SOT-89","","ZXTN19100CZTA","","","0","","","","","2008-07-31","Texas Instruments","","","","","","","Y","","","","","","","","","","","Digi-Key","Mouser","","ZXTN19100CZCT-ND","621-ZXTN19100CZTA","","","a0412235","2009-09-01","150","-55","","","","","","EA","100 V","","5.25 A","500","","100","0.21","","","","","","","","","Q?","Transistor, NPN, 100 V, 5.25 A, SOT-89"
